time;temperature;wind;wind_direction;gust;phenomenon;pressure;humidity;uv_index;moon;moon_direction;day;date;areal;city;prob;fish;features
0;17;2;С;12;['пасмурно', ' дождь'];737;0.95;0;0.27;-1;197;2020-07-15;Московская область;Москва;0.71;щука;[(('moon', 0, 3), 0.27, 0.025656348226782418), (('moon', 1, 15), 0.19, 0.038778949627135115), (('пасмурно', 0, 0), 1.0, 0.04899085406561882), (('wind', 0, 0), 2.0, 0.0766113553244903)]
3;17;0;штиль;0;['пасмурно', ' небольшой дождь', ' дымка'];736;0.96;0;0.27;-1;197;2020-07-15;Московская область;Москва;0.79;щука;[(('moon', 1, 15), 0.19, 0.03175129985754986), (('gust', 0, 0), 0.0, 0.046401792779972535), (('пасмурно', 0, 0), 1.0, 0.04899085406561882), (('wind', 0, 0), 0.0, 0.0729076516207866)]
6;17;1;ЮВ;0;['пасмурно', ' ливень'];737;0.95;1;0.27;-1;197;2020-07-15;Московская область;Москва;0.77;щука;[(('moon', 1, 15), 0.19, 0.03175129985754986), (('gust', 0, 0), 0.0, 0.048001792779972546), (('пасмурно', 0, 0), 1.0, 0.04899085406561882), (('wind', 0, 0), 1.0, 0.07399769958551489)]
9;18;1;ЮВ;0;['пасмурно', ' небольшой дождь', ' дымка'];737;0.87;2;0.27;-1;197;2020-07-15;Московская область;Москва;0.74;щука;[(('moon', 1, 15), 0.19, 0.03175129985754986), (('gust', 0, 0), 0.0, 0.04140179277997254), (('пасмурно', 0, 0), 1.0, 0.04899085406561882), (('wind', 0, 0), 1.0, 0.08269335175942792)]
12;19;2;ЮВ;0;['пасмурно'];737;0.72;3;0.27;-1;197;2020-07-15;Московская область;Москва;0.75;щука;[(('moon', 1, 15), 0.19, 0.03175129985754986), (('gust', 0, 0), 0.0, 0.04140179277997254), (('пасмурно', 0, 0), 1.0, 0.04899085406561882), (('wind', 0, 0), 2.0, 0.07869553040866539)]
15;17;6;ЮВ;17;['пасмурно', ' небольшой дождь'];737;0.86;2;0.27;-1;197;2020-07-15;Московская область;Москва;0.62;щука;[(('moon', 0, 12), 0.27, 0.027481609569736016), (('moon', 0, 3), 0.27, 0.035163340165791854), (('moon', 0, 0), 0.27, 0.03772142793303321), (('пасмурно', 0, 0), 1.0, 0.04899085406561882)]
18;17;5;ЮВ;14;['облачно', ' небольшой дождь'];737;0.76;1;0.27;-1;197;2020-07-15;Московская область;Москва;0.61;щука;[(('moon', 0, 12), 0.27, 0.027481609569736016), (('moon', 0, 3), 0.27, 0.03019652679821099), (('moon', 0, 0), 0.27, 0.03981020750902845), (('wind', 0, 0), 5.0, 0.07951828173141673)]
21;15;6;ЮВ;10;['пасмурно', ' небольшой дождь'];737;0.82;0;0.27;-1;197;2020-07-15;Московская область;Москва;0.65;щука;[(('moon', 0, 12), 0.27, 0.023201889290015737), (('moon', 0, 3), 0.27, 0.026681373991620867), (('moon', 0, 0), 0.27, 0.034193467406717415), (('пасмурно', 0, 0), 1.0, 0.056087628259167216)]
0;14;5;В;9;['пасмурно', ' небольшой дождь'];737;0.86;0;0.19;-1;198;2020-07-16;Московская область;Москва;0.63;щука;[(('moon', 0, 3), 0.27, 0.021226446271333566), (('gust', 0, 0), 9.0, 0.04156462802901467), (('пасмурно', 0, 0), 1.0, 0.056087628259167216), (('wind', 0, 0), 5.0, 0.0780705304086654)]
3;13;4;В;9;['пасмурно', ' дождь'];736;0.94;0;0.19;-1;198;2020-07-16;Московская область;Москва;0.63;щука;[(('moon', 0, 3), 0.19, 0.021226446271333566), (('gust', 0, 0), 9.0, 0.04156462802901467), (('пасмурно', 0, 0), 1.0, 0.0599555527874691), (('wind', 0, 0), 4.0, 0.08807053040866542)]
6;14;4;З;8;['пасмурно', ' дождь'];737;0.96;0;0.19;-1;198;2020-07-16;Московская область;Москва;0.65;щука;[(('moon', 0, 12), 0.27, 0.023201889290015737), (('gust', 0, 0), 8.0, 0.04140179277997254), (('пасмурно', 0, 0), 1.0, 0.056087628259167216), (('wind', 0, 0), 4.0, 0.0977628381009731)]
9;15;3;З;8;['пасмурно', ' дождь'];738;0.9;1;0.19;-1;198;2020-07-16;Московская область;Москва;0.64;щука;[(('moon', 2, 12), 0.19, 0.02174292443771792), (('gust', 0, 0), 8.0, 0.043001792779972535), (('пасмурно', 0, 0), 1.0, 0.056087628259167216), (('wind', 0, 0), 3.0, 0.08906718592706007)]
12;17;3;ЮЗ;8;['пасмурно', ' небольшой дождь', ' гроза'];740;0.83;2;0.19;-1;198;2020-07-16;Московская область;Москва;0.61;щука;[(('moon', 2, 12), 0.27, 0.025455795724846634), (('gust', 0, 0), 8.0, 0.037431204544678416), (('пасмурно', 0, 0), 1.0, 0.06805079088270719), (('wind', 0, 0), 3.0, 0.0977628381009731)]
15;16;5;З;10;['пасмурно', ' дождь'];741;0.9;1;0.19;-1;198;2020-07-16;Московская область;Москва;0.61;щука;[(('moon', 0, 3), 0.19, 0.017952403241192978), (('moon', 2, 12), 0.27, 0.02715768251729947), (('пасмурно', 0, 0), 1.0, 0.06805079088270719), (('wind', 0, 0), 5.0, 0.08526283810097311)]
18;16;5;З;11;['пасмурно', ' дождь'];742;0.88;1;0.19;-1;198;2020-07-16;Московская область;Москва;0.59;щука;[(('moon', 0, 3), 0.19, 0.020447362918612332), (('moon', 2, 12), 0.27, 0.0268678274448357), (('пасмурно', 0, 0), 1.0, 0.04899085406561882), (('wind', 0, 0), 5.0, 0.07947495931309431)]
21;15;4;ЮЗ;10;['малооблачно', ' небольшой дождь'];743;0.9;0;0.19;-1;198;2020-07-16;Московская область;Москва;0.55;щука;[(('gust', 0, 0), 10.0, 0.016078146687029955), (('ЮЗ', 0, 0), 1.0, 0.025305716586151362), (('moon', 2, 12), 0.27, 0.02715768251729947), (('wind', 0, 0), 4.0, 0.1023818857200207)]
0;15;4;З;8;['пасмурно'];743;0.9;0;0.12;-1;199;2020-07-17;Московская область;Москва;0.63;щука;[(('moon', 2, 12), 0.27, 0.025455795724846634), (('gust', 0, 0), 8.0, 0.04140179277997254), (('пасмурно', 0, 0), 1.0, 0.05241587024778656), (('wind', 0, 0), 4.0, 0.0952628381009731)]
3;15;4;З;8;['пасмурно'];743;0.92;0;0.12;-1;199;2020-07-17;Московская область;Москва;0.58;щука;[(('moon', 2, 12), 0.27, 0.025455795724846634), (('gust', 0, 0), 8.0, 0.045453516917903565), (('пасмурно', 0, 0), 1.0, 0.05027301310492941), (('wind', 0, 0), 4.0, 0.09053556537370035)]
6;15;4;З;7;['пасмурно', ' небольшой дождь'];744;0.9;1;0.12;-1;199;2020-07-17;Московская область;Москва;0.54;щука;[(('moon', 2, 12), 0.27, 0.025455795724846634), (('gust', 0, 0), 7.0, 0.04045351691790357), (('пасмурно', 0, 0), 1.0, 0.05027301310492941), (('wind', 0, 0), 4.0, 0.0952628381009731)]
