temperature_min;temperature_mean;temperature_max;wind_mean;wind_direction;gust_max;phenomenon;pressure_min;pressure_max;humidity_mean;uv_index_mean;moon;moon_direction;date;areal;city;fish;prob_min;prob_max
[15, 13, 15, 13, 13, 13, 17, 15, 14];[17.125, 15, 16.875, 16.625, 18.125, 19.375, 19.375, 19, 18.25];[19, 17, 19, 19, 23, 24, 22, 22, 21];[2.875, 4.125, 4, 2.875, 2.625, 1.75, 1.625, 2.375, 2.125];['ЮВ', 'З', 'З', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'ЮЗ'];[17, 11, 10, 9, 8, 6, 6, 9, 9];"[""['пасмурно', 'дождь']"", ""['пасмурно', 'дождь', 'гроза']"", ""['пасмурно', 'небольшой дождь']"", ""['пасмурно', 'небольшой дождь']"", ""['облачно']"", ""['ясно']"", ""['пасмурно']"", ""['малооблачно', 'небольшой дождь', 'гроза']"", ""['облачно', 'дождь', 'гроза']""]";[736, 736, 743, 747, 749, 747, 745, 743, 740];[737, 743, 747, 749, 750, 749, 746, 745, 743];[0.86125, 0.89625, 0.79, 0.7825, 0.73, 0.65875, 0.705, 0.82375, 0.775];[1.125, 0.625, 1.125, 1.125, 1.375, 1.875, 1.125, 1.375, 1.375];[0.27, 0.19, 0.12, 0.06, 0.02, 0, 0.01, 0.04, 0.1];[-1, -1, -1, -1, -1, 0, 1, 1, 1];2020-07-15;Московская область;Москва;щука;[0.61, 0.55, 0.5, 0.56, 0.52, 0.53, 0.55, 0.55, 0.58];[0.79, 0.65, 0.63, 0.6, 0.59, 0.61, 0.62, 0.64, 0.64]
[13, 15, 13, 13, 13, 17, 15, 14, 14];[15, 16.875, 16.625, 18.125, 19.375, 19.375, 19, 18.25, 15.25];[17, 19, 19, 23, 24, 22, 22, 21, 17];[4.125, 4, 2.875, 2.625, 1.75, 1.625, 2.375, 2.125, 4.875];['З', 'З', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'ЮЗ', 'З'];[11, 10, 9, 8, 6, 6, 9, 9, 15];"[""['пасмурно', 'дождь', 'гроза']"", ""['пасмурно', 'небольшой дождь']"", ""['пасмурно', 'небольшой дождь']"", ""['облачно']"", ""['ясно']"", ""['пасмурно']"", ""['малооблачно', 'небольшой дождь', 'гроза']"", ""['облачно', 'дождь', 'гроза']"", ""['пасмурно', 'дождь']""]";[736, 743, 747, 749, 747, 745, 743, 740, 739];[743, 747, 749, 750, 749, 746, 745, 743, 743];[0.89625, 0.79, 0.7825, 0.73, 0.65875, 0.705, 0.82375, 0.775, 0.78125];[0.625, 1.125, 1.125, 1.375, 1.875, 1.125, 1.375, 1.375, 0.5];[0.19, 0.12, 0.06, 0.02, 0, 0.01, 0.04, 0.1, 0.18];[-1, -1, -1, -1, 0, 1, 1, 1, 1];2020-07-16;Московская область;Москва;щука;[0.55, 0.5, 0.56, 0.52, 0.53, 0.55, 0.55, 0.58, 0.57];[0.65, 0.63, 0.6, 0.59, 0.61, 0.62, 0.64, 0.64, 0.68]
[15, 13, 15, 13, 13, 13, 17, 15, 14];[17.125, 15, 16.875, 16.625, 18.125, 19.375, 19.375, 19, 18.25];[19, 17, 19, 19, 23, 24, 22, 22, 21];[2.875, 4.125, 4, 2.875, 2.625, 1.75, 1.625, 2.375, 2.125];['ЮВ', 'З', 'З', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'ЮЗ'];[17, 11, 10, 9, 8, 6, 6, 9, 9];"[""['пасмурно', 'дождь']"", ""['пасмурно', 'дождь', 'гроза']"", ""['пасмурно', 'небольшой дождь']"", ""['пасмурно', 'небольшой дождь']"", ""['облачно']"", ""['ясно']"", ""['пасмурно']"", ""['малооблачно', 'небольшой дождь', 'гроза']"", ""['облачно', 'дождь', 'гроза']""]";[736, 736, 743, 747, 749, 747, 745, 743, 740];[737, 743, 747, 749, 750, 749, 746, 745, 743];[0.86125, 0.89625, 0.79, 0.7825, 0.73, 0.65875, 0.705, 0.82375, 0.775];[1.125, 0.625, 1.125, 1.125, 1.375, 1.875, 1.125, 1.375, 1.375];[0.27, 0.19, 0.12, 0.06, 0.02, 0, 0.01, 0.04, 0.1];[-1, -1, -1, -1, -1, 0, 1, 1, 1];2020-07-15;Московская область;Москва;судак;[0.62, 0.56, 0.53, 0.5, 0.49, 0.52, 0.52, 0.52, 0.49];[0.83, 0.64, 0.62, 0.6, 0.56, 0.57, 0.62, 0.55, 0.61]
[13, 15, 13, 13, 13, 17, 15, 14, 14];[15, 16.875, 16.625, 18.125, 19.375, 19.375, 19, 18.25, 15.25];[17, 19, 19, 23, 24, 22, 22, 21, 17];[4.125, 4, 2.875, 2.625, 1.75, 1.625, 2.375, 2.125, 4.875];['З', 'З', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'ЮЗ', 'З'];[11, 10, 9, 8, 6, 6, 9, 9, 15];"[""['пасмурно', 'дождь', 'гроза']"", ""['пасмурно', 'небольшой дождь']"", ""['пасмурно', 'небольшой дождь']"", ""['облачно']"", ""['ясно']"", ""['пасмурно']"", ""['малооблачно', 'небольшой дождь', 'гроза']"", ""['облачно', 'дождь', 'гроза']"", ""['пасмурно', 'дождь']""]";[736, 743, 747, 749, 747, 745, 743, 740, 739];[743, 747, 749, 750, 749, 746, 745, 743, 743];[0.89625, 0.79, 0.7825, 0.73, 0.65875, 0.705, 0.82375, 0.775, 0.78125];[0.625, 1.125, 1.125, 1.375, 1.875, 1.125, 1.375, 1.375, 0.5];[0.19, 0.12, 0.06, 0.02, 0, 0.01, 0.04, 0.1, 0.18];[-1, -1, -1, -1, 0, 1, 1, 1, 1];2020-07-16;Московская область;Москва;судак;[0.56, 0.53, 0.5, 0.49, 0.52, 0.52, 0.52, 0.49, 0.51];[0.64, 0.62, 0.6, 0.56, 0.57, 0.62, 0.55, 0.61, 0.64]
[15, 13, 15, 13, 13, 13, 17, 15, 14];[17.125, 15, 16.875, 16.625, 18.125, 19.375, 19.375, 19, 18.25];[19, 17, 19, 19, 23, 24, 22, 22, 21];[2.875, 4.125, 4, 2.875, 2.625, 1.75, 1.625, 2.375, 2.125];['ЮВ', 'З', 'З', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'ЮЗ'];[17, 11, 10, 9, 8, 6, 6, 9, 9];"[""['пасмурно', 'дождь']"", ""['пасмурно', 'дождь', 'гроза']"", ""['пасмурно', 'небольшой дождь']"", ""['пасмурно', 'небольшой дождь']"", ""['облачно']"", ""['ясно']"", ""['пасмурно']"", ""['малооблачно', 'небольшой дождь', 'гроза']"", ""['облачно', 'дождь', 'гроза']""]";[736, 736, 743, 747, 749, 747, 745, 743, 740];[737, 743, 747, 749, 750, 749, 746, 745, 743];[0.86125, 0.89625, 0.79, 0.7825, 0.73, 0.65875, 0.705, 0.82375, 0.775];[1.125, 0.625, 1.125, 1.125, 1.375, 1.875, 1.125, 1.375, 1.375];[0.27, 0.19, 0.12, 0.06, 0.02, 0, 0.01, 0.04, 0.1];[-1, -1, -1, -1, -1, 0, 1, 1, 1];2020-07-15;Московская область;Москва;окунь;[0.68, 0.57, 0.52, 0.55, 0.53, 0.55, 0.56, 0.52, 0.54];[0.83, 0.71, 0.67, 0.65, 0.6, 0.61, 0.65, 0.58, 0.6]
[13, 15, 13, 13, 13, 17, 15, 14, 14];[15, 16.875, 16.625, 18.125, 19.375, 19.375, 19, 18.25, 15.25];[17, 19, 19, 23, 24, 22, 22, 21, 17];[4.125, 4, 2.875, 2.625, 1.75, 1.625, 2.375, 2.125, 4.875];['З', 'З', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'ЮЗ', 'З'];[11, 10, 9, 8, 6, 6, 9, 9, 15];"[""['пасмурно', 'дождь', 'гроза']"", ""['пасмурно', 'небольшой дождь']"", ""['пасмурно', 'небольшой дождь']"", ""['облачно']"", ""['ясно']"", ""['пасмурно']"", ""['малооблачно', 'небольшой дождь', 'гроза']"", ""['облачно', 'дождь', 'гроза']"", ""['пасмурно', 'дождь']""]";[736, 743, 747, 749, 747, 745, 743, 740, 739];[743, 747, 749, 750, 749, 746, 745, 743, 743];[0.89625, 0.79, 0.7825, 0.73, 0.65875, 0.705, 0.82375, 0.775, 0.78125];[0.625, 1.125, 1.125, 1.375, 1.875, 1.125, 1.375, 1.375, 0.5];[0.19, 0.12, 0.06, 0.02, 0, 0.01, 0.04, 0.1, 0.18];[-1, -1, -1, -1, 0, 1, 1, 1, 1];2020-07-16;Московская область;Москва;окунь;[0.57, 0.52, 0.55, 0.53, 0.55, 0.56, 0.52, 0.54, 0.55];[0.71, 0.67, 0.65, 0.6, 0.61, 0.65, 0.58, 0.6, 0.66]
[15, 13, 15, 13, 13, 13, 17, 15, 14];[17.125, 15, 16.875, 16.625, 18.125, 19.375, 19.375, 19, 18.25];[19, 17, 19, 19, 23, 24, 22, 22, 21];[2.875, 4.125, 4, 2.875, 2.625, 1.75, 1.625, 2.375, 2.125];['ЮВ', 'З', 'З', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'ЮЗ'];[17, 11, 10, 9, 8, 6, 6, 9, 9];"[""['пасмурно', 'дождь']"", ""['пасмурно', 'дождь', 'гроза']"", ""['пасмурно', 'небольшой дождь']"", ""['пасмурно', 'небольшой дождь']"", ""['облачно']"", ""['ясно']"", ""['пасмурно']"", ""['малооблачно', 'небольшой дождь', 'гроза']"", ""['облачно', 'дождь', 'гроза']""]";[736, 736, 743, 747, 749, 747, 745, 743, 740];[737, 743, 747, 749, 750, 749, 746, 745, 743];[0.86125, 0.89625, 0.79, 0.7825, 0.73, 0.65875, 0.705, 0.82375, 0.775];[1.125, 0.625, 1.125, 1.125, 1.375, 1.875, 1.125, 1.375, 1.375];[0.27, 0.19, 0.12, 0.06, 0.02, 0, 0.01, 0.04, 0.1];[-1, -1, -1, -1, -1, 0, 1, 1, 1];2020-07-15;Московская область;Москва;берш;[0.59, 0.52, 0.48, 0.42, 0.47, 0.44, 0.5, 0.47, 0.48];[0.76, 0.63, 0.62, 0.53, 0.49, 0.52, 0.56, 0.57, 0.6]
[13, 15, 13, 13, 13, 17, 15, 14, 14];[15, 16.875, 16.625, 18.125, 19.375, 19.375, 19, 18.25, 15.25];[17, 19, 19, 23, 24, 22, 22, 21, 17];[4.125, 4, 2.875, 2.625, 1.75, 1.625, 2.375, 2.125, 4.875];['З', 'З', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'ЮЗ', 'З'];[11, 10, 9, 8, 6, 6, 9, 9, 15];"[""['пасмурно', 'дождь', 'гроза']"", ""['пасмурно', 'небольшой дождь']"", ""['пасмурно', 'небольшой дождь']"", ""['облачно']"", ""['ясно']"", ""['пасмурно']"", ""['малооблачно', 'небольшой дождь', 'гроза']"", ""['облачно', 'дождь', 'гроза']"", ""['пасмурно', 'дождь']""]";[736, 743, 747, 749, 747, 745, 743, 740, 739];[743, 747, 749, 750, 749, 746, 745, 743, 743];[0.89625, 0.79, 0.7825, 0.73, 0.65875, 0.705, 0.82375, 0.775, 0.78125];[0.625, 1.125, 1.125, 1.375, 1.875, 1.125, 1.375, 1.375, 0.5];[0.19, 0.12, 0.06, 0.02, 0, 0.01, 0.04, 0.1, 0.18];[-1, -1, -1, -1, 0, 1, 1, 1, 1];2020-07-16;Московская область;Москва;берш;[0.52, 0.48, 0.42, 0.47, 0.44, 0.5, 0.47, 0.48, 0.58];[0.63, 0.62, 0.53, 0.49, 0.52, 0.56, 0.57, 0.6, 0.66]
[15, 13, 15, 13, 13, 13, 17, 15, 14];[17.125, 15, 16.875, 16.625, 18.125, 19.375, 19.375, 19, 18.25];[19, 17, 19, 19, 23, 24, 22, 22, 21];[2.875, 4.125, 4, 2.875, 2.625, 1.75, 1.625, 2.375, 2.125];['ЮВ', 'З', 'З', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'ЮЗ'];[17, 11, 10, 9, 8, 6, 6, 9, 9];"[""['пасмурно', 'дождь']"", ""['пасмурно', 'дождь', 'гроза']"", ""['пасмурно', 'небольшой дождь']"", ""['пасмурно', 'небольшой дождь']"", ""['облачно']"", ""['ясно']"", ""['пасмурно']"", ""['малооблачно', 'небольшой дождь', 'гроза']"", ""['облачно', 'дождь', 'гроза']""]";[736, 736, 743, 747, 749, 747, 745, 743, 740];[737, 743, 747, 749, 750, 749, 746, 745, 743];[0.86125, 0.89625, 0.79, 0.7825, 0.73, 0.65875, 0.705, 0.82375, 0.775];[1.125, 0.625, 1.125, 1.125, 1.375, 1.875, 1.125, 1.375, 1.375];[0.27, 0.19, 0.12, 0.06, 0.02, 0, 0.01, 0.04, 0.1];[-1, -1, -1, -1, -1, 0, 1, 1, 1];2020-07-15;Московская область;Москва;речная форель;[0.6, 0.57, 0.54, 0.57, 0.49, 0.51, 0.53, 0.48, 0.51];[0.83, 0.7, 0.65, 0.61, 0.59, 0.56, 0.59, 0.59, 0.58]
[13, 15, 13, 13, 13, 17, 15, 14, 14];[15, 16.875, 16.625, 18.125, 19.375, 19.375, 19, 18.25, 15.25];[17, 19, 19, 23, 24, 22, 22, 21, 17];[4.125, 4, 2.875, 2.625, 1.75, 1.625, 2.375, 2.125, 4.875];['З', 'З', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'СЗ', 'ЮЗ', 'З'];[11, 10, 9, 8, 6, 6, 9, 9, 15];"[""['пасмурно', 'дождь', 'гроза']"", ""['пасмурно', 'небольшой дождь']"", ""['пасмурно', 'небольшой дождь']"", ""['облачно']"", ""['ясно']"", ""['пасмурно']"", ""['малооблачно', 'небольшой дождь', 'гроза']"", ""['облачно', 'дождь', 'гроза']"", ""['пасмурно', 'дождь']""]";[736, 743, 747, 749, 747, 745, 743, 740, 739];[743, 747, 749, 750, 749, 746, 745, 743, 743];[0.89625, 0.79, 0.7825, 0.73, 0.65875, 0.705, 0.82375, 0.775, 0.78125];[0.625, 1.125, 1.125, 1.375, 1.875, 1.125, 1.375, 1.375, 0.5];[0.19, 0.12, 0.06, 0.02, 0, 0.01, 0.04, 0.1, 0.18];[-1, -1, -1, -1, 0, 1, 1, 1, 1];2020-07-16;Московская область;Москва;речная форель;[0.57, 0.54, 0.57, 0.49, 0.51, 0.53, 0.48, 0.51, 0.54];[0.7, 0.65, 0.61, 0.59, 0.56, 0.59, 0.59, 0.58, 0.67]
